,Created_at,agg_neg,agg_nue,agg_pos,number of tweets
,,,,,
0,2020-01-01,0.12675108372432947,0.5923078046287112,0.2809411086590885,96
1,2020-01-02,0.16464418038231277,0.6552340615719354,0.1801217557794876,101
2,2020-01-03,0.14660580588450844,0.6386124930511271,0.21478169945011832,171
3,2020-01-04,0.15648417136717355,0.6158374765681791,0.22767835258875574,116
4,2020-01-05,0.15734121193476,0.652019149907966,0.19063963886819055,106
5,2020-01-06,0.12921818967304965,0.6673158472326005,0.2034659631248392,117
6,2020-01-07,0.1234800641387005,0.6767308208760897,0.19978911170019534,191
7,2020-01-08,0.15213880538601576,0.625161644784713,0.22269955220934165,169
8,2020-01-09,0.13320673628653104,0.6672421032856574,0.19955116521559163,162
9,2020-01-10,0.13586904852301987,0.6696084225754007,0.19452253176354167,118
10,2020-01-11,0.14589068480094017,0.6089865682525307,0.24512274806293702,92
11,2020-01-12,0.15737332962380884,0.6411486570986079,0.20147801256857673,89
12,2020-01-13,0.15388099071154937,0.64516533655689,0.20095367664565036,174
13,2020-01-14,0.13631333417826946,0.6599190385429965,0.20376762675108315,165
14,2020-01-15,0.14175999775774134,0.6719006396738776,0.18633935998048257,140
15,2020-01-16,0.16119408769916313,0.6712298254947523,0.1675760872487328,153
16,2020-01-17,0.1683827596933344,0.6248722247674661,0.20674501897587869,126
17,2020-01-18,0.20200076924819924,0.6512093873280468,0.1467898398044721,108
18,2020-01-19,0.13095715566984426,0.6366812336401443,0.23236161225108573,103
19,2020-01-20,0.14114948859914353,0.6569023718141124,0.20194814298852465,117
20,2020-01-21,0.17438942273442262,0.6645467608633803,0.16106382123941318,133
21,2020-01-22,0.13983673729856638,0.6392542788374752,0.22090898140414916,229
22,2020-01-23,0.1497711179962213,0.6646659114877507,0.18556296783694268,204
23,2020-01-24,0.1692650552454958,0.6745608608865717,0.15617408133049288,155
24,2020-01-25,0.15353004314001575,0.6195885164149301,0.22688143651711365,100
25,2020-01-26,0.1200516391701713,0.7011660112721778,0.1787823453998394,95
26,2020-01-27,0.16317643308568772,0.6899837940234684,0.14683976815122632,93
27,2020-01-28,0.12506465698506378,0.6814555371721642,0.19347981315709406,95
28,2020-01-29,0.14919389384212023,0.6967659045659954,0.15404019991911644,305
29,2020-01-30,0.14495818248403652,0.6840686950739111,0.17097312482519544,317
30,2020-01-31,0.1257810358326803,0.6115289010188031,0.2626900617000033,153
31,2020-02-01,0.14036068611965927,0.6483181855068796,0.2113211272475915,96
32,2020-02-02,0.15329648460364723,0.671210952192102,0.1754925613730382,130
33,2020-02-03,0.1774629460722988,0.6483707996371335,0.1741662524266681,331
34,2020-02-04,0.15977010638809566,0.6703547838377574,0.16987510848653464,478
35,2020-02-05,0.16587350326343758,0.6442784458468732,0.1898480531795336,403
36,2020-02-06,0.1905649520914652,0.6067254843832078,0.2027095624141211,445
37,2020-02-07,0.13969532984309507,0.6961461192336209,0.16415855647354802,161
38,2020-02-08,0.13491708202256716,0.656869476789275,0.20821343640967468,125
39,2020-02-09,0.1331199452617467,0.6800067163428151,0.18687333784187135,111
40,2020-02-10,0.13646982772223243,0.6589026505476924,0.20462751691665373,154
41,2020-02-11,0.12672699264196235,0.6833320705906711,0.18994093894671113,120
42,2020-02-12,0.10025335430020996,0.6550482718612456,0.24469837660204302,151
43,2020-02-13,0.13168417375032024,0.6729764278462433,0.19533940003808056,205
44,2020-02-14,0.1607867907588378,0.6803451668043295,0.15886803837407779,143
45,2020-02-15,0.1451209436801967,0.6740696252977628,0.1808094306950214,129
46,2020-02-16,0.1347988964516943,0.6697268986485005,0.19547420938168522,131
47,2020-02-17,0.1699317851382336,0.6453486369086489,0.18471957855413756,146
48,2020-02-18,0.1552626287520038,0.6271903471750818,0.21754703001541478,172
49,2020-02-19,0.15966410214011106,0.6590070410171589,0.18132886157181916,197
50,2020-02-20,0.15089487289620243,0.6635225205226605,0.18558260935756757,134
51,2020-02-21,0.17950615439812753,0.6594717763873966,0.16102207021391327,132
52,2020-02-22,0.14503120683416568,0.6384674975755846,0.21650129858046624,114
53,2020-02-23,0.13435983894489728,0.6725325322770304,0.19310763610339632,97
54,2020-02-24,0.161605591225879,0.6574377335895709,0.18095667566926693,110
55,2020-02-25,0.14940538946299925,0.6442042055919157,0.20639041137928502,138
56,2020-02-26,0.22791364944132575,0.6354244160699466,0.13666193181977118,127
57,2020-02-27,0.14740103588993583,0.6944201931562891,0.15817877402332328,107
58,2020-02-28,0.14350399347175005,0.663728950443096,0.19276705190745083,114
59,2020-02-29,0.10357062001836817,0.6241167723350209,0.27231261189802936,74
60,2020-03-01,0.1528818982227044,0.6690590702446378,0.17805903318749886,73
61,2020-03-02,0.18358937879488693,0.6390859309006824,0.17732468964948667,117
62,2020-03-03,0.14637409340561658,0.6670950687996917,0.18653083049168198,128
63,2020-03-04,0.153399107241775,0.6406324702783407,0.20596842303024943,114
64,2020-03-05,0.13429639979933028,0.6674349144085382,0.19826868615617577,133
65,2020-03-06,0.16729897841570762,0.6643214876738796,0.16837953606357803,111
66,2020-03-07,0.1500255081024704,0.6087458708684456,0.24122861941277027,103
67,2020-03-08,0.15437322996803365,0.6334892843641673,0.21213748991867154,71
68,2020-03-09,0.2232337378223743,0.5861647509155022,0.19060151261804958,89
69,2020-03-10,0.14643095508939322,0.6367354654654547,0.2168335774328329,119
70,2020-03-11,0.13104060333020143,0.6462055584484754,0.2227538385223931,155
71,2020-03-12,0.17867441479300525,0.6334411739282954,0.18788441135628225,101
72,2020-03-13,0.12075284504010066,0.6814382213171187,0.19780893088354232,75
73,2020-03-14,0.12923596688362246,0.6011367217408515,0.26962731699026177,67
74,2020-03-15,0.1761951065065274,0.6256490876737831,0.19815580009956077,69
75,2020-03-16,0.14791465280640112,0.7005628673875531,0.1515224793547511,96
76,2020-03-17,0.15194638707654234,0.6760432947049207,0.17201031696944719,100
77,2020-03-18,0.18568130833833912,0.6651699532976679,0.14914874463278394,138
78,2020-03-19,0.2188981564480378,0.6356404407802722,0.14546140668309088,134
79,2020-03-20,0.1441129999555488,0.6796504638384913,0.1762365417244011,102
80,2020-03-21,0.17331138326970452,0.6652883360725655,0.16140027810561722,65
81,2020-03-22,0.1384317305598582,0.6309882840460097,0.23057999378807198,60
82,2020-03-23,0.13634024687286958,0.6468563283344263,0.2168034314160531,64
83,2020-03-24,0.14676807735970204,0.6945860727731729,0.1586458564570018,86
84,2020-03-25,0.15413266030102193,0.6663278011313705,0.17953953110118756,79
85,2020-03-26,0.1826719564349786,0.6544344018377997,0.1628936403755915,77
86,2020-03-27,0.17838505775836994,0.6812310670004748,0.1403838763649612,85
87,2020-03-28,0.1665983717997157,0.6343215527350279,0.19908007978182612,72
88,2020-03-29,0.12272671141157089,0.6862460074064549,0.19102727512033948,51
89,2020-03-30,0.14880341389301988,0.6731576927595039,0.17803889373244602,65
90,2020-03-31,0.15316764512831632,0.6432520403241911,0.2035803204424391,79
91,2020-04-01,0.15112683821251532,0.6738753258059849,0.17499783749832296,104
92,2020-04-02,0.16758658321932665,0.6426992076021412,0.1897142024989032,141
93,2020-04-03,0.12020241541856551,0.6244796392250809,0.25531794531908375,87
94,2020-04-04,0.107137140765959,0.6692741578486777,0.22358869703017029,58
95,2020-04-05,0.19074619762437453,0.624508645158464,0.1847451570525032,58
96,2020-04-06,0.12900864599514625,0.5805775646908906,0.2904137982676601,87
97,2020-04-07,0.0911625148961948,0.7124679568404175,0.19636952244235809,63
98,2020-04-08,0.1272789644875006,0.6914433539550968,0.18127768178196801,104
99,2020-04-09,0.16250631740228128,0.6724684021047029,0.16502527708002904,80
100,2020-04-10,0.15570923920079102,0.6782708872346646,0.1660198646024496,60
101,2020-04-11,0.10928048046256812,0.6730656265893639,0.21765390074444765,64
102,2020-04-12,0.14901940423317125,0.6201945994469532,0.23078600073400282,50
103,2020-04-13,0.14235586877477233,0.6795970807876842,0.17804705151164513,71
104,2020-04-14,0.12786668575305968,0.6342211178252039,0.23791219072403821,90
105,2020-04-15,0.14088609249215714,0.6674211867488524,0.19169272002423565,92
106,2020-04-16,0.1520220442337617,0.6486964749122741,0.19928147427885545,101
107,2020-04-17,0.15917213027596627,0.6727088703684635,0.16811900197349555,105
108,2020-04-18,0.10627079729299033,0.6684785619820554,0.22525064330425712,62
109,2020-04-19,0.16587467151537408,0.6754080039590021,0.15871732823622767,71
110,2020-04-20,0.14140180679567022,0.6734400232038323,0.18515817491509573,110
111,2020-04-21,0.1315690598113859,0.6566750065129215,0.21175593205505125,82
