Date,Open,High,Low,Close,Adj Close,Volume
1/2/2020,28.299999,28.713333,28.114,28.684,28.684,142981500
1/3/2020,29.366667,30.266666,29.128,29.534,29.534,266677500
1/6/2020,29.364668,30.104,29.333332,30.102667,30.102667,151995000
1/7/2020,30.76,31.441999,30.224001,31.270666,31.270666,268231500
1/8/2020,31.58,33.232666,31.215334,32.809334,32.809334,467164500
1/9/2020,33.139999,33.253334,31.524668,32.089333,32.089333,426606000
1/10/2020,32.119331,32.329334,31.58,31.876667,31.876667,194392500
1/13/2020,32.900002,35.042,32.799999,34.990665,34.990665,397764000
1/14/2020,36.284,36.493999,34.993332,35.861332,35.861332,434943000
1/15/2020,35.317333,35.855999,34.452667,34.566666,34.566666,260532000
1/16/2020,32.916668,34.297333,32.811333,34.232666,34.232666,326050500
1/17/2020,33.840668,34.377998,33.543999,34.033333,34.033333,204436500
1/21/2020,35.349998,36.571999,35.227333,36.48,36.48,267052500
1/22/2020,38.125999,39.633331,37.273335,37.970669,37.970669,470535000
1/23/2020,37.616669,38.799999,37.040001,38.146667,38.146667,294765000
1/24/2020,38.042,38.257332,36.950668,37.654667,37.654667,215304000
1/27/2020,36.132668,37.629333,35.952,37.201332,37.201332,204121500
1/28/2020,37.899334,38.453999,37.205334,37.793331,37.793331,176827500
1/29/2020,38.379333,39.32,37.828667,38.732666,38.732666,267022500
1/30/2020,42.161331,43.391998,41.200001,42.720669,42.720669,435085500
1/31/2020,42.666668,43.533333,42.167999,43.371334,43.371334,235789500
2/3/2020,44.912666,52.409332,44.901333,52,52,705975000
2/4/2020,58.863998,64.599335,55.591999,59.137333,59.137333,914082000
2/5/2020,54.883999,56.398666,46.940666,48.98,48.98,726357000
2/6/2020,46.661331,53.055332,45.799999,49.930668,49.930668,598212000
2/7/2020,48.703335,51.316666,48.666668,49.871334,49.871334,255952500
2/10/2020,53.333332,54.666,50.16,51.418667,51.418667,370338000
2/11/2020,51.252666,52.234001,50.533333,51.625332,51.625332,175462500
2/12/2020,51.858002,52.650002,50.891335,51.152668,51.152668,180337500
2/13/2020,49.456001,54.533333,49,53.599998,53.599998,394339500
2/14/2020,52.481335,54.198002,52.366669,53.335335,53.335335,235405500
2/18/2020,56.106667,57.333332,55.490665,57.226665,57.226665,245725500
2/19/2020,61.566666,62.985332,60.068001,61.161331,61.161331,381345000
2/20/2020,60.796665,60.799999,57.329334,59.960667,59.960667,264523500
2/21/2020,60.465332,60.870667,58.696667,60.066666,60.066666,214722000
2/24/2020,55.933334,57.566666,54.813332,55.585999,55.585999,227883000
2/25/2020,56.599998,57.106667,52.466667,53.327332,53.327332,259357500
2/26/2020,52.166668,54.220669,51.740665,51.919998,51.919998,211282500
2/27/2020,48.666668,49.318001,44.599998,45.266666,45.266666,364158000
2/28/2020,41.98,46.034668,40.768002,44.532665,44.532665,363343500
3/2/2020,47.417332,49.579334,45.778,49.574669,49.574669,302925000
3/3/2020,53.666668,53.798668,47.740665,49.700668,49.700668,386760000
3/4/2020,50.930668,51.101334,48.315334,49.966667,49.966667,225735000
3/5/2020,48.251331,49.716667,47.871334,48.302666,48.302666,162790500
3/6/2020,46,47.133331,45.618,46.898666,46.898666,189943500
3/9/2020,40.359333,44.200001,40.333332,40.533333,40.533333,256105500
3/10/2020,43.962002,44.533333,40.533333,43.021999,43.021999,233916000
3/11/2020,42.68,43.571999,40.866669,42.282001,42.282001,199837500
3/12/2020,38.726002,39.633331,36.416668,37.369999,37.369999,283636500
3/13/2020,39.666668,40.504665,33.466667,36.441334,36.441334,339604500
