,Date,Open,Volume,price action_bearish,price action_bullish,Negativity,Neutrality,Positivity,Number of tweets
0,2020-01-02,28.299999,142981500,0,0,0.16464418038231277,0.6552340615719354,0.1801217557794876,101
1,2020-01-03,29.366667,266677500,0,0,0.14660580588450844,0.6386124930511271,0.21478169945011832,171
2,2020-01-06,29.364668,151995000,0,1,0.12921818967304965,0.6673158472326005,0.2034659631248392,117
3,2020-01-07,30.76,268231500,0,0,0.1234800641387005,0.6767308208760897,0.19978911170019534,191
4,2020-01-08,31.58,467164500,0,0,0.15213880538601576,0.625161644784713,0.22269955220934165,169
5,2020-01-09,33.139999,426606000,0,0,0.13320673628653104,0.6672421032856574,0.19955116521559163,162
6,2020-01-10,32.119331,194392500,0,0,0.13586904852301987,0.6696084225754007,0.19452253176354167,118
7,2020-01-13,32.900002,397764000,0,1,0.15388099071154937,0.64516533655689,0.20095367664565036,174
8,2020-01-14,36.284,434943000,0,0,0.13631333417826946,0.6599190385429965,0.20376762675108315,165
9,2020-01-15,35.317333,260532000,0,0,0.14175999775774134,0.6719006396738776,0.18633935998048257,140
10,2020-01-16,32.916668,326050500,0,1,0.16119408769916313,0.6712298254947523,0.1675760872487328,153
11,2020-01-17,33.840668,204436500,0,0,0.1683827596933344,0.6248722247674661,0.20674501897587869,126
12,2020-01-21,35.349998,267052500,0,1,0.17438942273442262,0.6645467608633803,0.16106382123941318,133
13,2020-01-22,38.125999,470535000,0,0,0.13983673729856638,0.6392542788374752,0.22090898140414916,229
14,2020-01-23,37.616669,294765000,0,0,0.1497711179962213,0.6646659114877507,0.18556296783694268,204
15,2020-01-24,38.042,215304000,0,0,0.1692650552454958,0.6745608608865717,0.15617408133049288,155
16,2020-01-27,36.132668,204121500,0,0,0.16317643308568772,0.6899837940234684,0.14683976815122632,93
17,2020-01-28,37.899334,176827500,0,0,0.12506465698506378,0.6814555371721642,0.19347981315709406,95
18,2020-01-29,38.379333,267022500,0,0,0.14919389384212023,0.6967659045659954,0.15404019991911644,305
19,2020-01-30,42.161331,435085500,0,0,0.14495818248403652,0.6840686950739111,0.17097312482519544,317
20,2020-01-31,42.666668,235789500,0,0,0.1257810358326803,0.6115289010188031,0.2626900617000033,153
21,2020-02-03,44.912666,705975000,0,1,0.1774629460722988,0.6483707996371335,0.1741662524266681,331
22,2020-02-04,58.863998,914082000,0,0,0.15977010638809566,0.6703547838377574,0.16987510848653464,478
23,2020-02-05,54.883999,726357000,0,0,0.16587350326343758,0.6442784458468732,0.1898480531795336,403
24,2020-02-06,46.661331,598212000,0,0,0.1905649520914652,0.6067254843832078,0.2027095624141211,445
25,2020-02-07,48.703335,255952500,0,0,0.13969532984309507,0.6961461192336209,0.16415855647354802,161
26,2020-02-10,53.333332,370338000,0,0,0.13646982772223243,0.6589026505476924,0.20462751691665373,154
