,Date,Open,Volume
0,2020-01-02,28.299999,142981500
1,2020-01-03,29.366667,266677500
2,2020-01-06,29.364668,151995000
3,2020-01-07,30.76,268231500
4,2020-01-08,31.58,467164500
5,2020-01-09,33.139999,426606000
6,2020-01-10,32.119331,194392500
7,2020-01-13,32.900002,397764000
8,2020-01-14,36.284,434943000
9,2020-01-15,35.317333,260532000
10,2020-01-16,32.916668,326050500
11,2020-01-17,33.840668,204436500
12,2020-01-21,35.349998,267052500
13,2020-01-22,38.125999,470535000
14,2020-01-23,37.616669,294765000
15,2020-01-24,38.042,215304000
16,2020-01-27,36.132668,204121500
17,2020-01-28,37.899334,176827500
18,2020-01-29,38.379333,267022500
19,2020-01-30,42.161331,435085500
20,2020-01-31,42.666668,235789500
21,2020-02-03,44.912666,705975000
22,2020-02-04,58.863998,914082000
23,2020-02-05,54.883999,726357000
24,2020-02-06,46.661331,598212000
25,2020-02-07,48.703335,255952500
26,2020-02-10,53.333332,370338000
27,2020-02-11,51.252666,175462500
28,2020-02-12,51.858002,180337500
29,2020-02-13,49.456001,394339500
30,2020-02-14,52.481335,235405500
31,2020-02-18,56.106667,245725500
32,2020-02-19,61.566666,381345000
33,2020-02-20,60.796665,264523500
34,2020-02-21,60.465332,214722000
35,2020-02-24,55.933334,227883000
36,2020-02-25,56.599998,259357500
37,2020-02-26,52.166668,211282500
38,2020-02-27,48.666668,364158000
39,2020-02-28,41.98,363343500
40,2020-03-02,47.417332,302925000
41,2020-03-03,53.666668,386760000
42,2020-03-04,50.930668,225735000
43,2020-03-05,48.251331,162790500
44,2020-03-06,46.0,189943500
45,2020-03-09,40.359333,256105500
46,2020-03-10,43.962002,233916000
47,2020-03-11,42.68,199837500
48,2020-03-12,38.726002,283636500
49,2020-03-13,39.666668,339604500
50,2020-03-16,31.299999,307342500
51,2020-03-17,29.334,359919000
52,2020-03-18,25.933332,356793000
53,2020-03-19,24.98,452932500
54,2020-03-20,29.213333,424282500
55,2020-03-23,28.906668,246817500
56,2020-03-24,31.82,343428000
57,2020-03-25,36.349998,318340500
58,2020-03-26,36.492668,260710500
59,2020-03-27,33.666668,215661000
60,2020-03-30,34.017334,179971500
61,2020-03-31,33.416668,266572500
62,2020-04-01,33.599998,200298000
63,2020-04-02,32.068668,297876000
64,2020-04-03,33.966667,338431500
65,2020-04-06,34.080002,223527000
66,2020-04-07,36.333332,268797000
67,2020-04-08,36.946667,189840000
68,2020-04-09,37.472668,204750000
69,2020-04-13,39.344002,337131000
70,2020-04-14,46.598,458647500
71,2020-04-15,49.466667,353655000
72,2020-04-16,47.796001,309868500
73,2020-04-17,51.485332,196923000
74,2020-04-20,48.846668,221199000
75,2020-04-21,48.674667,303136500
76,2020-04-22,46.931999,212482500
77,2020-04-23,48.506668,198550500
78,2020-04-24,47.387333,198180000
79,2020-04-27,49.174,310221000
80,2020-04-28,53.042667,228330000
81,2020-04-29,52.678001,243240000
82,2020-04-30,57.012669,427078500
83,2020-05-01,50.333332,487977000
84,2020-05-04,46.733334,288556500
85,2020-05-05,52.652668,254875500
86,2020-05-06,51.766666,166848000
87,2020-05-07,51.813999,172915500
88,2020-05-08,52.917999,241297500
89,2020-05-11,52.700668,247794000
90,2020-05-12,55.133331,238603500
91,2020-05-13,54.722,285982500
92,2020-05-14,52.0,205233000
93,2020-05-15,52.689999,157776000
94,2020-05-18,55.185333,174987000
95,2020-05-19,54.344666,144547500
96,2020-05-20,54.700001,109639500
97,2020-05-21,54.400002,183819000
98,2020-05-22,54.811333,149812500
99,2020-05-26,55.633331,121345500
100,2020-05-27,54.723999,173242500
101,2020-05-28,54.234001,108834000
102,2020-05-29,53.916668,176467500
103,2020-06-01,57.200001,224092500
104,2020-06-02,59.646667,203484000
105,2020-06-03,59.208,119242500
106,2020-06-04,59.325333,133315500
107,2020-06-05,58.522667,117178500
108,2020-06-08,61.266666,212620500
109,2020-06-09,62.667332,170823000
110,2020-06-10,66.125336,278451000
111,2020-06-11,66.013336,238747500
112,2020-06-12,65.333336,251451000
113,2020-06-15,61.186001,235458000
114,2020-06-16,67.456665,210766500
115,2020-06-17,65.847336,148362000
116,2020-06-18,66.866669,146278500
117,2020-06-19,67.518669,130195500
118,2020-06-22,66.66333,95436000
119,2020-06-23,66.592003,95479500
120,2020-06-24,66.274002,164394000
121,2020-06-25,63.618,138817500
122,2020-06-26,66.318665,132823500
123,2020-06-29,64.60067,135396000
124,2020-06-30,67.099998,253777500
125,2020-07-01,72.199997,199903500
126,2020-07-02,81.431999,258751500
127,2020-07-06,85.112663,308548500
128,2020-07-07,93.667336,322345500
129,2020-07-08,93.666664,244669500
130,2020-07-09,93.132668,175764000
131,2020-07-10,93.066666,350064000
132,2020-07-13,110.599998,584781000
133,2020-07-14,103.73333,351271500
134,2020-07-15,102.866669,245517000
135,2020-07-16,98.477333,214512000
136,2020-07-17,100.896667,139950000
137,2020-07-20,101.267334,256821000
138,2020-07-21,109.328667,241608000
139,2020-07-22,106.599998,212416500
140,2020-07-23,111.93,364927500
141,2020-07-24,94.400665,290949000
142,2020-07-27,95.666664,240730500
143,2020-07-28,100.26667,237130500
144,2020-07-29,100.066666,141403500
145,2020-07-30,99.199997,114315000
146,2020-07-31,101.0,183123000
147,2020-08-03,96.613335,132139500
148,2020-08-04,99.667336,126225000
149,2020-08-05,99.532669,74217000
150,2020-08-06,99.388664,89884500
151,2020-08-07,99.96933,133446000
152,2020-08-10,96.533333,112834500
153,2020-08-11,93.066666,129387000
154,2020-08-12,98.0,327441000
155,2020-08-13,107.400002,306379500
156,2020-08-14,110.999336,188664000
157,2020-08-17,111.800003,303634500
158,2020-08-18,126.599335,247117500
159,2020-08-19,124.333336,183079500
160,2020-08-20,124.045334,309177000
161,2020-08-21,136.317337,322344000
162,2020-08-24,141.751999,300954000
163,2020-08-25,131.659332,159883500
164,2020-08-26,137.333328,213591000
165,2020-08-27,145.363998,355395000
166,2020-08-28,153.007996,301218000
167,2020-08-31,148.203339,355123200
168,2020-09-01,167.380005,269523300
169,2020-09-02,159.66333,288528300
170,2020-09-03,135.743332,262788300
171,2020-09-04,134.270004,330965700
172,2020-09-08,118.666664,346397100
173,2020-09-09,118.866669,238397400
174,2020-09-10,128.736664,254791800
175,2020-09-11,127.313332,182152500
176,2020-09-14,126.98333,249061800
177,2020-09-15,145.520004,291894600
178,2020-09-16,146.623337,216837900
179,2020-09-17,138.53334,230337600
180,2020-09-18,149.313339,259220400
181,2020-09-21,151.043335,328430400
182,2020-09-22,143.199997,238742400
183,2020-09-23,135.053329,285222600
184,2020-09-24,121.26667,289683300
185,2020-09-25,131.156662,201625500
186,2020-09-28,141.539993,149158800
187,2020-09-29,138.666672,150657900
188,2020-09-30,140.440002,144436800
189,2020-10-01,146.919998,152224500
190,2020-10-02,140.463333,214290000
191,2020-10-05,141.116669,134168400
192,2020-10-06,141.263336,147438900
193,2020-10-07,139.956665,129383100
194,2020-10-08,146.146667,121263300
195,2020-10-09,143.376663,86777100
196,2020-10-12,147.333328,116373300
197,2020-10-13,147.78334,103391100
198,2020-10-14,149.926666,143639100
199,2020-10-15,150.103333,107017200
200,2020-10-16,151.479996,98327700
201,2020-10-19,148.746674,108863400
202,2020-10-20,143.916672,94968900
203,2020-10-21,140.899994,97111500
204,2020-10-22,147.306671,119979600
205,2020-10-23,140.613327,101151000
206,2020-10-26,137.210007,84717600
207,2020-10-27,141.253326,68059500
208,2020-10-28,138.82666,76354200
209,2020-10-29,136.653336,67965900
210,2020-10-30,135.633331,127533900
211,2020-11-02,131.333328,87063300
212,2020-11-03,136.57666,103055100
213,2020-11-04,143.539993,96429300
214,2020-11-05,142.766663,85243500
215,2020-11-06,145.366669,65118000
216,2020-11-09,146.5,104499000
217,2020-11-10,140.029999,90852600
218,2020-11-11,138.816666,52073100
219,2020-11-12,138.350006,59565300
220,2020-11-13,136.949997,59313300
221,2020-11-16,136.309998,80515800
222,2020-11-17,153.389999,183564900
223,2020-11-18,149.449997,234132000
224,2020-11-19,164.0,187425900
225,2020-11-20,165.996674,98735700
226,2020-11-23,167.833328,150780900
227,2020-11-24,180.133331,160945500
228,2020-11-25,183.353333,146790600
229,2020-11-27,193.720001,112683300
230,2020-11-30,200.736664,189009300
231,2020-12-01,199.196671,120310500
232,2020-12-02,185.479996,143327100
233,2020-12-03,196.67334,127656000
234,2020-12-04,197.003326,88203900
235,2020-12-07,201.639999,168929100
236,2020-12-08,208.503326,192795000
237,2020-12-09,217.896667,213873600
238,2020-12-10,191.456665,201249600
239,2020-12-11,205.003326,139425000
240,2020-12-14,206.333328,156121800
241,2020-12-15,214.426666,135214500
242,2020-12-16,209.410004,126287400
243,2020-12-17,209.396667,168810300
244,2020-12-18,222.96666,666378600
245,2020-12-21,222.080002,174135900
246,2020-12-22,216.0,155148000
247,2020-12-23,210.733337,99519000
248,2020-12-24,214.330002,68596800
249,2020-12-28,224.83667,96835800
250,2020-12-29,220.333328,68732400
251,2020-12-30,224.0,128538000
252,2020-12-31,233.330002,148949700
253,2021-01-04,239.820007,145914600
254,2021-01-05,241.220001,96735600
255,2021-01-06,252.830002,134100000
256,2021-01-07,259.209991,154496700
257,2021-01-08,285.333344,225166500
258,2021-01-11,283.133331,177904800
259,2021-01-12,277.0,138812100
260,2021-01-13,284.253326,99937500
261,2021-01-14,281.130005,93798900
262,2021-01-15,284.0,116332800
263,2021-01-19,279.266663,76101000
264,2021-01-20,286.246674,76997700
265,2021-01-21,285.0,61563300
266,2021-01-22,278.103333,60199500
267,2021-01-25,285.0,123520200
268,2021-01-26,297.126678,69394800
269,2021-01-27,290.116669,82002000
270,2021-01-28,273.333344,79134000
271,2021-01-29,276.666656,104972400
272,2021-02-01,271.429993,76174200
273,2021-02-02,281.559998,73038600
274,2021-02-03,292.339996,55030500
275,2021-02-04,285.0,47438100
276,2021-02-05,281.666656,55699800
277,2021-02-08,289.890015,60485100
278,2021-02-09,285.040009,45473100
279,2021-02-10,281.213318,108648300
280,2021-02-11,270.813324,64868400
281,2021-02-12,267.08667,71304900
282,2021-02-16,272.666656,59406900
283,2021-02-17,259.696655,77989500
284,2021-02-18,260.299988,53871300
285,2021-02-19,265.0,56874900
286,2021-02-22,254.213333,111809100
287,2021-02-23,220.710007,199820700
288,2021-02-24,237.28334,110301000
289,2021-02-25,242.050003,117071700
290,2021-02-26,233.333328,123267600
291,2021-03-01,230.036667,81408600
292,2021-03-02,239.426666,71196600
293,2021-03-03,229.330002,90624000
294,2021-03-04,218.600006,197758500
295,2021-03-05,208.686661,268189500
296,2021-03-08,200.183334,155361000
297,2021-03-09,202.726669,202569900
298,2021-03-10,233.433334,181817100
299,2021-03-11,233.133331,108761700
300,2021-03-12,223.333328,100751400
301,2021-03-15,231.363327,88006800
302,2021-03-16,234.449997,96587100
303,2021-03-17,218.956665,121117500
304,2021-03-18,228.096664,99674400
305,2021-03-19,215.53334,128682000
306,2021-03-22,228.196671,118536600
307,2021-03-23,225.256668,91475700
308,2021-03-24,222.636673,101385600
309,2021-03-25,204.333328,117674700
310,2021-03-26,213.956665,101558400
311,2021-03-29,205.213333,85911000
312,2021-03-30,200.583328,118297200
313,2021-03-31,215.539993,100011900
314,2021-04-01,229.456665,105895200
315,2021-04-05,235.903336,125528400
316,2021-04-06,230.100006,84815400
317,2021-04-07,229.0,78928200
318,2021-04-08,225.793335,71772900
319,2021-04-09,225.92334,64311300
320,2021-04-12,228.566666,87407100
321,2021-04-13,237.566666,133958400
322,2021-04-14,256.899994,147052200
323,2021-04-15,247.699997,83546700
324,2021-04-16,242.883331,83938500
325,2021-04-19,239.866669,119058600
326,2021-04-20,239.139999,106827000
327,2021-04-21,234.92334,93646500
328,2021-04-22,247.166672,106770900
329,2021-04-23,239.933334,85110000
330,2021-04-26,247.0,93115500
331,2021-04-27,239.320007,88311000
332,2021-04-28,232.136673,66813000
333,2021-04-29,233.169998,86536200
334,2021-04-30,222.529999,122276100
335,2021-05-03,234.600006,81129300
336,2021-05-04,226.313339,89217900
337,2021-05-05,227.020004,65705700
338,2021-05-06,226.919998,83353800
339,2021-05-07,221.933334,70407600
340,2021-05-10,221.633331,94177200
341,2021-05-11,199.746674,139511700
342,2021-05-12,200.830002,101470800
343,2021-05-13,200.513336,132554700
344,2021-05-14,194.470001,100112700
345,2021-05-17,191.850006,97171200
346,2021-05-18,189.333328,110491800
347,2021-05-19,184.183334,118735200
348,2021-05-20,191.666672,92463300
349,2021-05-21,198.703339,78091800
350,2021-05-24,193.866669,103674300
351,2021-05-25,202.436661,84017700
352,2021-05-26,202.520004,85917900
353,2021-05-27,206.746674,79111800
354,2021-05-28,209.5,68211000
355,2021-06-01,209.266663,54254700
356,2021-06-02,206.710007,69908400
357,2021-06-03,200.600006,90335700
358,2021-06-04,193.236664,72110700
359,2021-06-07,197.276672,67631100
360,2021-06-08,207.669998,78160200
361,2021-06-09,200.723328,49753800
362,2021-06-10,201.293335,71758800
363,2021-06-11,203.410004,48615900
364,2021-06-14,204.07666,61272000
365,2021-06-15,205.563339,53292300
366,2021-06-16,199.179993,66432300
367,2021-06-17,200.630005,68104200
368,2021-06-18,204.456665,73682700
369,2021-06-21,208.160004,74438100
370,2021-06-22,206.083328,57476700
371,2021-06-23,210.666672,93297600
372,2021-06-24,224.996674,137947200
373,2021-06-25,229.860001,97490100
374,2021-06-28,223.880005,64884600
375,2021-06-29,228.21666,52143900
376,2021-06-30,226.589996,56774700
377,2021-07-01,227.973328,55903500
378,2021-07-02,226.32666,81163500
379,2021-07-06,227.236664,69853500
380,2021-07-07,221.42334,56376000
381,2021-07-08,209.456665,68319900
382,2021-07-09,217.726669,54421500
383,2021-07-12,220.733337,77781000
384,2021-07-13,228.773331,62898300
385,2021-07-14,223.583328,64923600
386,2021-07-15,219.463333,60628800
387,2021-07-16,218.226669,49113000
388,2021-07-19,209.963333,63891300
389,2021-07-20,217.330002,46461300
390,2021-07-21,219.869995,41859900
391,2021-07-22,218.813339,45317100
392,2021-07-23,215.453339,43814700
393,2021-07-26,216.990005,76009800
394,2021-07-27,221.133331,98439900
395,2021-07-28,215.666672,48019800
396,2021-07-29,216.596664,91183800
397,2021-07-30,223.919998,88969200
398,2021-08-02,233.333328,100847400
399,2021-08-03,239.666672,64860900
400,2021-08-04,237.0,51007800
401,2021-08-05,238.666672,38758800
402,2021-08-06,237.300003,46869000
403,2021-08-09,236.723328,44145900
404,2021-08-10,237.996674,40296900
405,2021-08-11,237.570007,29401800
406,2021-08-12,235.446671,52377300
407,2021-08-13,241.236664,50194500
408,2021-08-16,235.023331,68032200
409,2021-08-17,224.220001,71163900
410,2021-08-18,223.25,61048200
411,2021-08-19,226.070007,42940500
412,2021-08-20,227.616669,44525700
413,2021-08-23,228.479996,60794700
414,2021-08-24,236.893326,39249300
415,2021-08-25,235.676666,37936800
416,2021-08-26,236.103333,39642900
417,2021-08-27,235.0,41501400
418,2021-08-30,238.240005,55812600
419,2021-08-31,244.333328,62566200
420,2021-09-01,244.693329,39612900
421,2021-09-02,244.833328,38331900
422,2021-09-03,244.083328,45738300
423,2021-09-07,246.666672,60119400
424,2021-09-08,253.860001,56379000
425,2021-09-09,251.136673,42233100
426,2021-09-10,253.199997,45552600
427,2021-09-13,246.736664,68857500
428,2021-09-14,247.523331,55574700
429,2021-09-15,248.333328,46073100
430,2021-09-16,250.943329,41770200
431,2021-09-17,252.383331,84612600
432,2021-09-20,244.853333,74273100
433,2021-09-21,244.929993,48992100
434,2021-09-22,247.843338,45378900
435,2021-09-23,251.666672,35842500
436,2021-09-24,248.630005,64119000
437,2021-09-27,257.706665,84212100
438,2021-09-28,262.399994,76144200
439,2021-09-29,259.933319,62828700
440,2021-09-30,260.333344,53868000
441,2021-10-01,259.466675,51094200
442,2021-10-04,265.5,91449900
443,2021-10-05,261.600006,55297800
444,2021-10-06,258.733337,43898400
445,2021-10-07,261.820007,57587400
446,2021-10-08,265.40332,50215800
447,2021-10-11,262.549988,42600900
448,2021-10-12,266.976654,66060000
449,2021-10-13,270.156677,42360300
450,2021-10-14,271.829987,36741600
451,2021-10-15,274.579987,56773800
452,2021-10-18,283.929993,72621600
453,2021-10-19,292.51001,52143300
454,2021-10-20,288.450012,42096300
455,2021-10-21,285.333344,94444500
456,2021-10-22,298.5,68642400
457,2021-10-25,316.843323,188556300
458,2021-10-26,341.563324,187245000
459,2021-10-27,346.553345,115579500
460,2021-10-28,356.103333,81639600
461,2021-10-29,360.619995,89755200
462,2021-11-01,381.666656,168146100
463,2021-11-02,386.453339,128213400
464,2021-11-03,392.443329,103885500
465,2021-11-04,411.470001,76192200
466,2021-11-05,409.333344,64886400
467,2021-11-08,383.263336,100337100
468,2021-11-09,391.200012,177317400
469,2021-11-10,336.803345,128408100
470,2021-11-11,367.589996,67189800
471,2021-11-12,349.166656,76719300
472,2021-11-15,339.209991,104326800
473,2021-11-16,334.436676,79627200
474,2021-11-17,354.503326,94336200
475,2021-11-18,368.850006,62696700
476,2021-11-19,366.290009,64926900
477,2021-11-22,387.443329,99217500
478,2021-11-23,389.170013,108515100
479,2021-11-24,360.130005,67680600
480,2021-11-26,366.48999,35042700
481,2021-11-29,366.996674,58393500
482,2021-11-30,381.456665,81276000
483,2021-12-01,386.899994,68450400
484,2021-12-02,366.353333,73114800
485,2021-12-03,361.59668,92322000
486,2021-12-06,333.83667,81663000
487,2021-12-07,348.066681,56084700
488,2021-12-08,350.90332,41906400
489,2021-12-09,353.546661,59438400
490,2021-12-10,336.25,59664300
491,2021-12-13,333.696655,78595500
492,2021-12-14,315.0,70806300
493,2021-12-15,317.736664,75169200
494,2021-12-16,331.5,82771500
495,2021-12-17,304.92334,100437300
496,2021-12-20,303.566681,56480100
497,2021-12-21,305.623322,71517900
498,2021-12-22,321.886658,93634200
499,2021-12-23,335.600006,92713200
500,2021-12-27,357.890015,71145900
501,2021-12-28,369.829987,60324000
502,2021-12-29,366.213318,56154000
503,2021-12-30,353.776672,47040900
